,words,IPA
25866,levitation,"lEvIteISn,"
25867,levity,lEv@tI
25868,levodopa,liv@Ud@Up@
25869,levy,lEvI
25870,levy,lEvI
25871,levyon,lEvIOn
25872,lewd,ljud
25873,lewdly,ljudlI
25874,lewdness,ljudnIs
25875,lexical,"lEksIkl,"
25876,lexically,lEksIk@lI
25877,lexicographer,lEksIkOgr@f@rɞ
25878,lexicography,lEksIkOgr@fI
25879,lexicon,lEksIk@n
25880,lexis,lEksIs
25881,ley,leI
25882,liability,laI@bIl@tI
25883,liable,"laI@bl,"
25884,liaise,lIeIz
25885,liaison,lIeIz@n
25886,liana,lIAn@
25887,liane,lIAn
25888,liar,laI@rɞ
25889,lib,lIb
25890,Lib,lIb
25891,libation,"laIbeISn,"
25892,libber,lIb@rɞ
25893,libel,"laIbl,"
25894,libel,"laIbl,"
25895,libellous,laIb@l@s
25896,libellously,"laIbl,@slI"
25897,liberal,lIb@r@l
25898,liberal,lIb@r@l
25899,Liberal,lIb@r@l
25900,Liberal,lIb@r@l
25901,liberalart,lIb@r@lAt
25902,liberalism,lIb@r@lIz@m
25903,Liberalism,lIb@r@lIz@m
25904,liberality,lIb@rɑl@tI
25905,liberalization,"lIb@r@laIzeISn,"
25906,liberalize,lIb@r@laIz
25907,liberally,lIb@r@lI
25908,Liberalparty,lIb@r@lpAtI
25909,liberate,lIb@reIt
25910,liberated,lIb@reItId
25911,liberation,"lIb@reISn,"
25912,liberator,lIb@reIt@rɞ
25913,Liberia,laIbI@rI@
25914,Liberian,laIbI@rI@n
25915,Liberian,laIbI@rI@n
25916,libertarian,lIb@tE@rI@n
25917,liberties,lIb@tIz
25918,libertine,lIb@tin
25919,liberty,lIb@tI
25920,libidinous,lIbIdIn@s
25921,libidinously,lIbIdIn@slI
25922,libidinousness,lIbIdIn@snIs
25923,libido,lIbid@U
25924,Libra,laIbr@
25925,Libra,laIbr@
25926,librarian,laIbrE@rI@n
25927,librarianship,laIbrE@rI@nSIp
25928,library,laIbr@rI
25929,librettist,lIbrEtIst
25930,libretto,lIbrEt@U
25931,Libya,lIbI@
25932,Libyan,lIbI@n
25933,Libyan,lIbI@n
25934,licence,laIs@ns
25935,license,laIs@ns
25936,licensed,laIs@nst
25937,licensedvictualler,"laIs@nstvItl,@rɞ"
25938,licensee,laIs@nsi
25939,licenseplate,laIs@nspleIt
25940,licensinglaws,laIs@nsINlOz
25941,licentiate,laIsEnSI@t
25942,licentious,laIsEnS@s
25943,licentiously,laIsEnS@slI
25944,licentiousness,laIsEnS@snIs
25945,lichen,laIk@n
25946,lichgate,lItSgeIt
25947,licit,lIsIt
25948,licitly,lIsItlI
25949,lick,lIk
25950,lick,lIk
25951,licking,lIkIN
25952,lid,lId
25953,lidless,lIdlIs
25954,lido,lid@U
25955,lie,laI
25956,lie,laI
25957,lie,laI
25958,lie,laI
25959,lie-abed,laI@bEd
25960,lieabout,laI@baUt
25961,liebehind,laIbIhaInd
25962,liebehind,laIbIhaInd
25963,Liechtenstein,lIkt@nsteIn
25964,Liechtensteiner,lIkt@nsteIn@rɞ
25965,Liechtensteiner,lIkt@nsteIn@rɞ
25966,lied,lid
25967,lieder-singer,lid@sIN@rɞ
25968,lie-detector,laIdItEkt@rɞ
25969,liedown,laIdaUn
25970,lie-down,laIdaUn
25971,lief,lif
25972,liege,lidZ
25973,liege,lidZ
25974,liegeman,lidZmɑn
25975,lie-in,laIIn
25976,liein,laIIn
25977,liein,laIIn
25978,lien,lI@n
25979,lieoff,laIOf
25980,lieover,laI@Uv@rɞ
25981,lieto,laItu
25982,lieu,lju
25983,lieup,laIVp
25984,lieutenancy,lEftEn@nsI
25985,lieutenant,lEftEn@nt
25986,liewith,laIwID
25987,life,laIf
25988,lifeassurance,laIf@SU@r@ns
25989,lifebelt,laIfbElt
25990,lifeblood,laIfblVd
25991,lifeboat,laIfb@Ut
25992,lifebuoy,laIfbOI
25993,lifecycle,"laIfsaIkl,"
25994,lifeexpectancy,laIfIkspEkt@nsI
25995,life-giving,laIfgIvIN
25996,lifeguard,laIfgAd
25997,lifehistory,laIfhIst@rI
25998,lifeinsurance,laIfInSOr@ns
25999,life-jacket,laIfdZɑkIt
26000,lifeless,laIflIs
26001,lifelessly,laIflIslI
26002,lifelessness,laIflIsnIs
26003,lifelike,laIflaIk
26004,lifeline,laIflaIn
26005,lifelong,laIflON
26006,life-office,laIfOfIs
26007,lifepeer,laIfpI@rɞ
26008,life-preserver,laIfprIz3v@rɞ
26009,lifer,laIf@rɞ
26010,life-raft,laIfrAft
26011,life-saver,laIfseIv@rɞ
26012,life-size,laIfsaIz
26013,life-sized,laIfsaIzd
26014,life-span,laIfspɑn
26015,life'swork,laIfsw3k
26016,lifetime,laIftaIm
26017,life-work,laIfw3k
26018,lift,lIft
26019,lift,lIft
26020,liftboy,lIftbOI
26021,liftman,lIftmɑn
26022,lift-off,lIftOf
26023,liftoff,lIftOf
26024,ligament,lIg@m@nt
26025,ligate,laIgeIt
26026,ligature,lIg@tS@rɞ
26027,light,laIt
26028,light,laIt
26029,light,laIt
26030,light,laIt
26031,light,laIt
26032,lightaircraft,laItE@krAft
26033,lightale,laIteIl
26034,light-armed,laItAmd
26035,lightbulb,laItbVlb
26036,light-coloured,laItkVl@d
26037,lighten,"laItn,"
26038,lighter,laIt@rɞ
26039,lighter,laIt@rɞ
26040,lighter,laIt@rɞ
26041,lighterage,laIt@rIdZ
26042,light-fingered,laItfINg@d
26043,light-handed,laIthɑndId
26044,light-handedly,laIthɑndIdlI
26045,light-headed,laIthEdId
26046,light-headedly,laIthEdIdlI
26047,light-headedness,laIthEdIdnIs
26048,light-hearted,laIthAtId
26049,light-heartedly,laIthAtIdlI
26050,light-heartedness,laIthAtIdnIs
26051,lightheavyweight,laIthEvIweIt
26052,light-heavyweight,laIthEvIweIt
26053,lighthouse,laIthaUs
26054,lighting,laItIN
26055,lighting-uptime,laItINVptaIm
26056,lightly,laItlI
26057,light-minded,laItmaIndId
26058,light-mindedly,laItmaIndIdlI
26059,light-mindedness,laItmaIndIdnIs
26060,lightness,laItnIs
26061,lightning,laItnIN
26062,lightning-conductor,laItnINk@ndVkt@rɞ
26063,lightning-rod,laItnINrOd
26064,lightningstrike,laItnINstraIk
26065,light-o'-love,laIt@lVv
26066,lighton,laItOn
26067,lightout,laItaUt
26068,lights,laIts
26069,lights,laIts
26070,lightship,laItSIp
26071,lightsome,laIts@m
26072,lightsomely,laIts@mlI
26073,lightsomeness,laIts@mnIs
26074,lights-out,laItsaUt
26075,lightup,laItVp
26076,lightupon,laIt@pOn
26077,lightweight,laItweIt
26078,lightweight,laItweIt
26079,lightyear,laItjI@rɞ
26080,ligneous,lIgnI@s
26081,lignite,lIgnaIt
26082,lignumvitae,lIgn@mvaItI
26083,likable,"laIk@bl,"
26084,like,laIk
26085,like,laIk
26086,like,laIk
26087,like,laIk
26088,like,laIk
26089,like,laIk
26090,likelihood,laIklIhUd
26091,likely,laIklI
26092,likely,laIklI
26093,like-minded,laIkmaIndId
26094,like-mindedness,laIkmaIndIdnIs
26095,likeness,laIknIs
26096,likento,laIk@ntu
26097,likes,laIks
26098,likewise,laIkwaIz
26099,liking,laIkIN
26100,lilac,laIl@k
26101,Lilliput,lIlIpVt
26102,Lilliputian,"lIlIpjuSn,"
26103,lilliputian,"lIlIpjuSn,"
26104,lilo,laIl@U
26105,Lilo,laIl@U
26106,lilt,lIlt
26107,lilt,lIlt
26108,lily,lIlI
26109,lily-livered,lIlIlIv@d
26110,lilyofthevalley,lIlI@vD@vɑlI
26111,lily-white,lIlIwaIt
26112,Lima,lim@
26113,limabean,lim@bin
26114,limb,lIm
26115,limber,lImb@rɞ
26116,limber,lImb@rɞ
26117,limber,lImb@rɞ
26118,limberup,lImb@rVp
26119,limbless,lImlIs
26120,limbo,lImb@U
26121,lime,laIm
26122,lime,laIm
26123,limeade,laImeId
26124,limejuice,laImdZus
26125,limekiln,laImkIln
26126,limelight,laImlaIt
26127,limerick,lIm@rIk
26128,limestone,laImst@Un
26129,lime-tree,laImtri
26130,limey,laImI
26131,limit,lImIt
26132,limit,lImIt
26133,limitable,"lImIt@bl,"
26134,limitation,"lImIteISn,"
26135,limited,lImItId
26136,limitedliability,lImItIdlaI@bIl@tI
26137,limiting,lImItIN
26138,limitless,lImItlIs
26139,limitlessly,lImItlIslI
26140,limitlessness,lImItlIsnIs
26141,limn,lIm
26142,limousine,lIm@zin
26143,limp,lImp
26144,limp,lImp
26145,limp,lImp
26146,limpet,lImpIt
26147,limpid,lImpId
26148,limpidity,lImpId@tI
26149,limpidly,lImpIdlI
26150,limply,lImplI
26151,limpness,lImpnIs
26152,limy,laImI
26153,linchpin,lIntSpIn
26154,Lincoln,lINk@n
26155,Lincolngreen,lINk@ngrin
26156,linctus,lINkt@s
26157,linden,lInd@n
26158,linden-tree,lInd@ntri
26159,line,laIn
26160,line,laIn
26161,lineabreast,laIn@brEst
26162,lineage,lInIIdZ
26163,lineal,lInI@l
26164,lineally,lInI@lI
26165,lineament,lInI@m@nt
26166,linear,lInI@rɞ
26167,linearmotor,lInI@m@Ut@rɞ
26168,lineastern,laIn@st3n
26169,linedrawing,laIndrOIN
26170,lineman,laInm@n
26171,linen,lInIn
26172,linenbasket,lInInbAskIt
26173,linen-draper,lInIndreIp@rɞ
26174,lineofbattle,"laInOvbɑtl,"
26175,lineout,laInaUt
26176,lineprinter,laInprInt@rɞ
26177,liner,laIn@rɞ
26178,linertrain,laIn@treIn
26179,lines,laInz
26180,line-shooter,laInSut@rɞ
26181,line-shooting,laInSutIN
26182,linesman,laInzm@n
26183,line-up,laInVp
26184,lineup,laInVp
26185,lineupbehind,laInVpbIhaInd
26186,ling,lIN
26187,lingam,lINg@m
26188,linger,lINg@rɞ
26189,lingerer,lINg@r@rɞ
26190,lingerie,lɑ~nZ@ri
26191,lingering,lINg@rIN
26192,lingeringly,lINg@rINlI
26193,lingo,lINg@U
26194,linguafranca,lINgw@frɑNk@
26195,lingual,lINgw@l
26196,linguist,lINgwIst
26197,linguistic,lINgwIstIk
26198,linguistically,lINgwIstIk@lI
26199,linguistics,lINgwIstIks
26200,liniment,lInIm@nt
26201,lining,laInIN
26202,link,lINk
26203,link,lINk
26204,linkage,lINkIdZ
26205,linkboy,lINkbOI
26206,linkman,lINkmɑn
26207,links,lINks
26208,linkup,lINkVp
26209,linnet,lInIt
26210,lino,laIn@U
26211,linocut,laIn@UkVt
26212,linoleum,lIn@Ulj@m
26213,linotype,laIn@UtaIp
26214,linseed,lInsid
26215,linseedoil,lInsidOIl
26216,linsey-woolsey,lInzIwUlzI
26217,lint,lInt
26218,lintel,"lIntl,"
26219,lion,laI@n
26220,lioness,laI@nEs
26221,lion-hearted,laI@nhAtId
26222,lion-hunter,laI@nhVnt@rɞ
26223,lionization,"laI@naIzeISn,"
26224,lionize,laI@naIz
26225,lip,lIp
26226,lipid,lIpId
26227,lip-read,lIprid
26228,lip-reading,lIpridIN
26229,lipservice,lIps3vIs
26230,lipstick,lIpstIk
26231,liquefaction,"lIkwIfɑkSn,"
26232,liquefy,lIkwIfaI
26233,liquesce,lIkwEs
26234,liquescent,lIkwEs@nt
26235,liqueur,lIkjU@rɞ
26236,liquid,lIkwId
26237,liquid,lIkwId
26238,liquidair,lIkwIdE@rɞ
26239,liquidate,lIkwIdeIt
26240,liquidation,"lIkwIdeISn,"
26241,liquidator,lIkwIdeIt@rɞ
26242,liquidity,lIkwId@tI
26243,liquidize,lIkwIdaIz
26244,liquidizer,lIkwIdaIz@rɞ
26245,liquidparaffin,lIkwIdpɑr@fIn
26246,liquor,lIk@rɞ
26247,liquorice,lIk@rIs
26248,lira,lI@r@
26249,lisle,laIl
26250,lisp,lIsp
26251,lisp,lIsp
26252,lisping,lIspIN
26253,lispingly,lIspINlI
26254,lissom,lIs@m
26255,lissomly,lIs@mlI
26256,lissomness,lIs@mnIs
26257,list,lIst
26258,list,lIst
26259,list,lIst
26260,listen,"lIsn,"
26261,listen,"lIsn,"
26262,listenable,"lIsn,@bl,"
26263,listener,"lIsn,@rɞ"
26264,listenfor,"lIsn,fOrɞ"
26265,listenin,"lIsn,In"
26266,listenout,"lIsn,aUt"
26267,listless,lIstlIs
26268,listlessly,lIstlIslI
26269,listlessness,lIstlIsnIs
26270,list-price,lIstpraIs
26271,lists,lIsts
26272,lit,lIt
26273,litany,lIt@nI
26274,literacy,lIt@r@sI
26275,literal,lIt@r@l
26276,literal,lIt@r@l
26277,literally,lIt@r@lI
26278,literalness,lIt@r@lnIs
26279,literary,lIt@r@rI
26280,literate,lIt@r@t
26281,literate,lIt@r@t
26282,literately,lIt@r@tlI
26283,literateness,lIt@r@tnIs
26284,literati,lIt@rAti
26285,literature,lIt@r@tS@rɞ
26286,lithe,laID
26287,lithely,laIDlI
26288,lithium,lITI@m
26289,lithograph,lIT@UgrAf
26290,lithograph,lIT@UgrAf
26291,lithographic,lIT@UgrɑfIk
26292,lithographically,lIT@UgrɑfIk@lI
26293,lithography,lITOgr@fI
26294,litigant,lItIg@nt
26295,litigate,lItIgeIt
26296,litigation,"lItIgeISn,"
26297,litigious,lItIdZ@s
26298,litigiousness,lItIdZ@snIs
26299,litmus,lItm@s
26300,litmus-paper,lItm@speIp@rɞ
26301,litotes,laIt@Utiz
26302,litre,lit@rɞ
26303,litter,lIt@rɞ
26304,litter,lIt@rɞ
26305,litterateur,lItr@t3rɞ
26306,litterbag,lIt@bɑg
26307,litter-basket,lIt@bAskIt
26308,litterbin,lIt@bIn
26309,litterbug,lIt@bVg
26310,litterlout,lIt@laUt
26311,little,"lItl,"
26312,little,"lItl,"
26313,little,"lItl,"
26314,little,"lItl,"
26315,littlebrother,"lItl,brVD@rɞ"
26316,littlefinger,"lItl,fINg@rɞ"
26317,littlefolk,"lItl,f@Uk"
26318,littleness,"lItl,nIs"
26319,littlepeople,"lItl,pipl,"
26320,littlesister,"lItl,sIst@rɞ"
26321,littletoe,"lItl,t@U"
26322,littlewoman,"lItl,wUm@n"
26323,littoral,lIt@r@l
26324,littoral,lIt@r@l
26325,liturgical,"lIt3dZIkl,"
26326,liturgically,lIt3dZIk@lI
26327,liturgy,lIt@dZI
26328,livable,"lIv@bl,"
26329,live,lIv
26330,live,laIv
26331,live,laIv
26332,live-birth,laIvb3T
26333,liveby,lIvbaI
26334,livedown,lIvdaUn
26335,livefor,lIvfOrɞ
26336,livein,lIvIn
26337,livelihood,laIvlIhUd
26338,liveliness,laIvlInIs
26339,livelong,lIvlON
26340,lively,laIvlI
26341,livenup,"laIvn,Vp"
26342,liveoff,lIvOf
26343,liveon,lIvOn
26344,liveon,lIvOn
26345,liver,lIv@rɞ
26346,liver,lIv@rɞ
26347,liveried,lIv@rId
26348,liverish,lIv@rIS
26349,liversausage,lIv@sOsIdZ
26350,liverwurst,lIv@w3st
26351,livery,lIv@rI
26352,livery,lIv@rI
26353,liverycompany,lIv@rIkVmp@nI
26354,liveryman,lIv@rIm@n
26355,liverystable,"lIv@rIsteIbl,"
26356,livestock,laIvstOk
26357,livethrough,lIvTru
26358,livetogether,lIvt@gED@rɞ
26359,liveupto,lIvVptu
26360,livewire,laIvwaI@rɞ
26361,livewith,lIvwID
26362,livid,lIvId
26363,lividly,lIvIdlI
26364,living,lIvIN
26365,living,lIvIN
26366,livingdaylights,lIvINdeIlaIts
26367,livingdeath,lIvINdET
26368,livingfossil,"lIvINfOsl,"
26369,living-room,lIvINrUm
26370,living-space,lIvINspeIs
26371,livingstandard,lIvINstɑnd@d
26372,livingwage,lIvINweIdZ
26373,lizard,lIz@d
26374,'ll,@l
26375,'ll,@l
26376,ll,laInz
26377,llama,lAm@
26378,lo,l@U
26379,load,l@Ud
26380,load,l@Ud
26381,loaddown,l@UddaUn
26382,loaded,l@UdId
26383,load-line,l@UdlaIn
26384,load-shedding,l@UdSEdIN
26385,loadwith,l@UdwID
26386,loaf,l@Uf
26387,loaf,l@Uf
26388,loafer,l@Uf@rɞ
26389,loafsugar,l@UfSUg@rɞ
26390,loam,l@Um
26391,loamy,l@UmI
26392,loan,l@Un
26393,loan,l@Un
26394,loan-collection,"l@Unk@lEkSn,"
26395,loandbehold,l@UɑndbIh@Uld
26396,loan-office,l@UnOfIs
26397,loanword,l@Unw3d
26398,loath,l@UT
26399,loathe,l@UD
26400,loathing,l@UDIN
26401,loathly,l@UDlI
26402,loathsome,l@UDs@m
26403,loathsomely,l@UDs@mlI
26404,loathsomeness,l@UDs@mnIs
26405,lob,lOb
26406,lob,lOb
26407,lobby,lObI
26408,lobby,lObI
26409,lobbyist,lObIIst
26410,lobe,l@Ub
26411,lobed,l@Ubd
26412,lobotomy,l@UbOt@mI
26413,lobster,lObst@rɞ
26414,lobsterpot,lObst@pOt
26415,local,"l@Ukl,"
26416,local,"l@Ukl,"
26417,localcolour,"l@Ukl,kVl@rɞ"
26418,locale,l@UkAl
26419,localism,l@Uk@lIz@m
26420,locality,l@Ukɑl@tI
26421,localization,"l@Uk@laIzeISn,"
26422,localize,l@Uk@laIz
26423,locally,l@Uk@lI
26424,localoption,"l@Ukl,OpSn,"
26425,localtime,"l@Ukl,taIm"
26426,locate,l@UkeIt
26427,located,l@UkeItId
26428,location,"l@UkeISn,"
26429,loch,lOk
26430,lock,lOk
26431,lock,lOk
26432,lockable,"lOk@bl,"
26433,lockaway,lOk@weI
26434,locker,lOk@rɞ
26435,lockerroom,lOk@rUm
26436,locket,lOkIt
26437,lock-gate,lOkgeIt
26438,lockin,lOkIn
26439,lockjaw,lOkdZO
26440,lock-keeper,lOkkip@rɞ
26441,locknut,lOknVt
26442,lockonto,lOkOntu
26443,lockout,lOkaUt
26444,lockout,lOkaUt
26445,locks,lOks
26446,locksmith,lOksmIT
26447,lockstitch,lOkstItS
26448,lock-up,lOkVp
26449,lockup,lOkVp
26450,lockup,lOkVp
26451,loco,l@Uk@U
26452,locomotion,"l@Uk@m@USn,"
26453,locomotive,l@Uk@m@UtIv
26454,locomotive,l@Uk@m@UtIv
26455,locum,l@Uk@m
26456,locumtenens,l@Uk@mtinEnz
26457,locus,l@Uk@s
26458,locusclassicus,l@Uk@sklɑsIk@s
26459,locust,l@Uk@st
26460,locust-tree,l@Uk@sttri
26461,locution,"l@UkjuSn,"
26462,lode,l@Ud
26463,lodestar,l@UdstArɞ
26464,lodestone,l@Udst@Un
26465,lodge,lOdZ
26466,lodge,lOdZ
26467,lodger,lOdZ@rɞ
26468,lodging,lOdZIN
26469,lodging-house,lOdZINhaUs
26470,lodgings,lOdZINz
26471,lodgment,lOdZm@nt
26472,loess,l@UIs
26473,loft,lOft
26474,loft,lOft
26475,lofted,lOftId
26476,loftily,lOftIlI
26477,loftiness,lOftInIs
26478,lofty,lOftI
26479,log,lOg
26480,log,lOg
26481,Logan,l@Ug@n
26482,loganberry,l@Ug@nb@rI
26483,logarithm,lOg@rID@m
26484,logarithmic,lOg@rIDmIk
26485,logarithmically,lOg@rIDmIk@lI
26486,logbook,lOgbUk
26487,log-cabin,lOgkɑbIn
26488,logger,lOg@rɞ
26489,loggerheads,lOg@hEdz
26490,loggia,l@UdZ@
26491,logging,lOgIN
26492,logic,lOdZIk
26493,logical,"lOdZIkl,"
26494,logicality,lOdZIkɑl@tI
26495,logically,lOdZIk@lI
26496,logician,"l@UdZISn,"
26497,logistic,l@UdZIstIk
26498,logistically,l@UdZIstIk@lI
26499,logistics,l@UdZIstIks
26500,logjam,lOgdZɑm
26501,logrolling,lOgr@UlIN
26502,loin,lOIn
26503,loincloth,lOInklOT
26504,loins,lOInz
26505,loiter,lOIt@rɞ
26506,loiterer,lOIt@r@rɞ
26507,loll,lOl
26508,lollipop,lOlIpOp
26509,lollipopman,lOlIpOpmɑn
26510,lollipopwoman,lOlIpOpwUm@n
26511,lollop,lOl@p
26512,lolly,lOlI
26513,London,lVnd@n
26514,lone,l@Un
26515,loneliness,l@UnlInIs
26516,lonely,l@UnlI
26517,lonelyhearts,l@UnlIhAts
26518,loner,l@Un@rɞ
26519,lonesome,l@Uns@m
26520,lonewolf,l@UnwUlf
26521,long,lON
26522,long,lON
26523,long,lON
26524,long,lON
26525,longboat,lONb@Ut
26526,longbow,lONb@U
26527,long-distance,lONdIst@ns
26528,long-distance,lONdIst@ns
26529,long-distancecall,lONdIst@nskOl
26530,longdivision,"lONdIvIZn,"
26531,longdozen,"lONdVzn,"
26532,long-drawn-out,lONdrOnaUt
26533,longdrink,lONdrINk
26534,longevity,lOndZEv@tI
26535,longface,lONfeIs
26536,longfor,lONfOrɞ
26537,longhaired,lONhE@d
26538,longhand,lONhɑnd
26539,longhaul,lONhOl
26540,longheaded,lONhEdId
26541,longhop,lONhOp
26542,longing,lONIN
26543,longing,lONIN
26544,longingly,lONINlI
26545,longish,lONIS
26546,longitude,lOndZItjud
26547,longitudinal,"lOndZItjudInl,"
26548,longitudinally,lOndZItjudIn@lI
26549,longjohns,lONdZOnz
26550,longjump,lONdZVmp
26551,long-lived,lONlIvd
26552,longmeasure,lONmEZ@rɞ
26553,longodds,lONOdz
26554,long-playing,lONpleIIN
26555,long-playingrecord,lONpleIINrEkOd
26556,long-range,lONreIndZ
26557,longrun,lONrVn
26558,longship,lONSIp
26559,longshore,lONSOrɞ
26560,longshoreman,lONSOm@n
26561,longshot,lONSOt
26562,longsighted,lONsaItId
26563,longstanding,lONstɑndIN
26564,longstop,lONstOp
26565,longsuffering,lONsVf@rIN
26566,longsuit,lONsut
26567,long-term,lONt3m
26568,long-time,lONtaIm
26569,longton,lONtVn
26570,longueur,lO~Ng3rɞ
26571,longvac,lONvɑk
26572,longvacation,"lONv@keISn,"
26573,longwave,lONweIv
26574,longways,lONweIz
26575,longwearing,lONwE@rIN
26576,longwinded,lONwIndId
26577,longwindedly,lONwIndIdlI
26578,longwindedness,lONwIndIdnIs
26579,longwise,lONwaIz
26580,loo,lu
26581,loofah,luf@
26582,look,lUk
26583,look,lUk
26584,look,lUk
26585,lookabout,lUk@baUt
26586,lookabout,lUk@baUt
26587,lookafter,lUkAft@rɞ
26588,lookahead,lUk@hEd
26589,look-alike,lUk@laIk
26590,lookaround,lUk@raUnd
26591,lookat,lUkɑt
26592,lookback,lUkbɑk
26593,lookdownon,lUkdaUnOn
26594,looker,lUk@rɞ
26595,looker-on,lUk@rOn
26596,lookfor,lUkfOrɞ
26597,lookforwardto,lUkfOw@dtu
26598,lookhere,lUkhI@rɞ
26599,look-in,lUkIn
26600,lookin,lUkIn
26601,looking-glass,lUkINglAs
26602,lookinto,lUkIntu
26603,lookon,lUkOn
26604,lookon,lUkOn
26605,lookonto,lUkOntu
26606,lookout,lUkaUt
26607,lookout,lUkaUt
26608,lookouton,lUkaUtOn
26609,lookoutover,lUkaUt@Uv@rɞ
26610,look-over,lUk@Uv@rɞ
26611,lookover,lUk@Uv@rɞ
26612,lookover,lUk@Uv@rɞ
26613,lookround,lUkraUnd
26614,lookround,lUkraUnd
26615,looks,lUks
26616,lookthrough,lUkTru
26617,lookthrough,lUkTru
26618,lookto,lUktu
26619,lookup,lUkVp
26620,lookupanddown,lUkVpɑnddaUn
26621,lookupon,lUk@pOn
26622,lookupto,lUkVptu
26623,loom,lum
26624,loom,lum
26625,loon,lun
26626,loony,lunI
26627,loony,lunI
26628,loonybin,lunIbIn
26629,loop,lup
26630,loop,lup
26631,loophole,luph@Ul
26632,loop-line,luplaIn
26633,loopy,lupI
26634,loose,lus
26635,loose,lus
26636,loose,lus
26637,loose,lus
26638,loosebox,lusbOks
26639,loose-leaf,luslif
26640,loosely,luslI
26641,loosen,"lusn,"
26642,looseness,lusnIs
26643,loosenup,"lusn,Vp"
26644,loot,lut
26645,loot,lut
26646,looter,lut@rɞ
26647,lop,lOp
26648,lope,l@Up
26649,lope,l@Up
26650,lop-eared,lOpI@d
26651,lop-ears,lOpI@z
26652,loppings,lOpINz
26653,lop-sided,lOpsaIdId
26654,loquacious,l@UkweIS@s
26655,loquaciously,l@UkweIS@slI
26656,loquaciousness,l@UkweIS@snIs
26657,loquacity,l@Ukwɑs@tI
26658,loquat,l@UkwOt
26659,lor,lOrɞ
26660,lord,lOd
26661,lord,lOd
26662,Lord,lOd
26663,Lord,lOd
26664,lordless,lOdlIs
26665,lordliness,lOdlInIs
26666,lordly,lOdlI
26667,Lords,lOdz
26668,lordship,lOdSIp
26669,Lord'sPrayer,lOdzprE@rɞ
26670,lore,lOrɞ
26671,lorgnette,lOnjEt
26672,Lori,lOrI
26673,lorn,lOn
26674,lorry,lOrI
26675,lose,luz
26676,loseout,luzaUt
26677,loser,luz@rɞ
26678,loss,lOs
26679,loss-leader,lOslid@rɞ
26680,lostcause,lOstkOz
26681,lostproperty,lOstprOp@tI
26682,lot,lOt
26683,lotion,"l@USn,"
26684,lottery,lOt@rI
26685,lotto,lOt@U
26686,lotus,l@Ut@s
26687,lotus-eater,l@Ut@sit@rɞ
26688,loud,laUd
26689,loud,laUd
26690,loudhailer,laUdheIl@rɞ
26691,loudly,laUdlI
26692,loudmouth,laUdmaUT
26693,loudmouthed,laUdmaUDd
26694,loudness,laUdnIs
26695,loudspeaker,laUdspik@rɞ
26696,lough,lOk
26697,lounge,laUndZ
26698,lounge,laUndZ
26699,loungebar,laUndZbArɞ
26700,lounge-chair,laUndZtSE@rɞ
26701,lounge-lizard,laUndZlIz@d
26702,lounger,laUndZ@rɞ
26703,lounge-suit,laUndZsut
26704,lour,laU@rɞ
26705,louringly,laU@rINlI
26706,louse,laUs
26707,louseup,laUzVp
26708,lousy,laUzI
26709,lout,laUt
26710,loutish,laUtIS
26711,louvre,luv@rɞ
26712,louvred,luv@d
26713,lovable,"lVv@bl,"
26714,love,lVv
26715,love,lVv
26716,love-affair,lVv@fE@rɞ
26717,lovebird,lVvb3d
26718,lovechild,lVvtSaIld
26719,love-feast,lVvfist
26720,love-knot,lVvnOt
26721,loveless,lVvlIs
26722,love-letter,lVvlEt@rɞ
26723,loveliness,lVvlInIs
26724,lovelorn,lVvlOn
26725,lovelorn,lVvlOn
26726,lovely,lVvlI
26727,lovely,lVvlI
26728,lovemaking,lVvmeIkIN
26729,love-match,lVvmɑtS
26730,love-philtre,lVvfIlt@rɞ
26731,love-potion,"lVvp@USn,"
26732,lover,lVv@rɞ
26733,loverlike,lVv@laIk
26734,lovers,lVv@z
26735,love-seat,lVvsit
26736,lovesick,lVvsIk
26737,love-song,lVvsON
26738,love-story,lVvstOrI
26739,love-token,lVvt@Uk@n
26740,lovey,lVvI
26741,loving,lVvIN
26742,loving-cup,lVvINkVp
26743,loving-kindness,lVvINkaIndnIs
26744,lovingly,lVvINlI
26745,low,l@U
26746,low,l@U
26747,low,l@U
26748,low,l@U
26749,lowborn,l@UbOn
26750,lowbred,l@UbrEd
26751,lowbrow,l@UbraU
26752,lowbrow,l@UbraU
26753,lowcomedy,l@UkOm@dI
26754,low-down,l@UdaUn
26755,lowdown,l@UdaUn
26756,lower,l@U@rɞ
26757,lower,l@U@rɞ
26758,loweraway,l@U@r@weI
26759,lowercase,l@U@keIs
26760,LowerChamber,l@U@tSeImb@rɞ
26761,lowerclass,l@U@klAs
26762,lowerclass,l@U@klAs
26763,lowerdeck,l@U@dEk
26764,LowerEastSide,l@U@ristsaId
26765,LowerHouse,l@U@haUs
26766,lowermost,l@U@m@Ust
26767,low-key,l@Uki
26768,low-keyed,l@Ukid
26769,lowland,l@Ul@nd
26770,lowlander,l@Ul@nd@rɞ
26771,Lowlander,l@Ul@nd@rɞ
26772,Lowlands,l@Ul@ndz
26773,lowliness,l@UlInIs
26774,lowly,l@UlI
26775,lowly,l@UlI
26776,low-lying,l@UlaIIN
26777,low-minded,l@UmaIndId
26778,low-necked,l@UnEkt
26779,lowness,l@UnIs
26780,low-pitched,l@UpItSt
